IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_828,Fingerprint_826,Fingerprint_822,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_782,Fingerprint_780,Fingerprint_776,Fingerprint_712,Fingerprint_710,Fingerprint_697,Fingerprint_687,Fingerprint_677,Fingerprint_646,Fingerprint_644,Fingerprint_629,Fingerprint_617,Fingerprint_611,REC_R_HSA_141409,REC_R_HSA_141409_EXP,GO_0030878,GO_0030878_EXP,CLS_average_ploidy,EXP_PIM2,EXP_STK24,EXP_STK19,Predicted IC50,Validation
2.335331,924187,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,4.7143561173,0,0,2.6533508085,4.2021384011,4.0838799576,3.4219937197,2.6572966698,10
3.223073,930082,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,6.9632637271,2.0219194553,3.597451008,4.8972569097,2.6984461734,2.2861334148,3
2.738897,1240127,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,2,8.7835949774,0,0,3.6815714119,4.8531678705,4.0832453666,3.2330920337,3.4584140723,4
2.578577,1240174,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,4.2286055327,0,0,1.931980783,4.1827978152,4.5375667895,3.1274264713,3.0254243252,6
-0.781285,907000,153,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,2.0060246273,3.2637734427,4.1083683359,2.7958028108,-0.319057261,3
0.525454,907051,153,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,2,8.9210509035,0,0,3.4323658044,4.6672182298,4.4058532707,3.0188421105,0.2420486233,5
0.196021,908130,153,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1.9667921549,4.3899321223,4.2873662655,2.8956258568,0.1335413185,9
-0.534157,909735,153,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,2,14.449119202,1.9784991522,3.5829747542,4.7257785129,2.841098384,-0.715339849,7
0.820125,910691,153,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,2.2577327546,3.7433573765,4.5356846511,2.7212952994,-0.222516402,1
-1.245863,910781,153,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,4.8081334031,1,5.5312781323,2.1709069768,3.3662167461,4.4686151729,2.8090016505,-1.12586903,9
0.94215,924187,153,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,4.7143561173,0,0,2.6533508085,4.2021384011,4.0838799576,3.4219937197,1.028076036,3
-0.715216,930082,153,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,6.9632637271,2.0219194553,3.597451008,4.8972569097,2.6984461734,-0.066033545,6
0.010892,1240127,153,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,2,8.7835949774,0,0,3.6815714119,4.8531678705,4.0832453666,3.2330920337,1.0248755135,10
-0.20126,1240174,153,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,4.2286055327,0,0,1.931980783,4.1827978152,4.5375667895,3.1274264713,0.0124427727,6
-0.948643,907000,155,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,2.0060246273,3.2637734427,4.1083683359,2.7958028108,-0.055737308,6
0.155268,907051,155,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,2,8.9210509035,0,0,3.4323658044,4.6672182298,4.4058532707,3.0188421105,1.3211615558,7
-2.292729,908130,155,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1.9667921549,4.3899321223,4.2873662655,2.8956258568,0.4906745659,10
-0.255824,909735,155,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,2,14.449119202,1.9784991522,3.5829747542,4.7257785129,2.841098384,-0.27283154,9
2.150359,910691,155,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,2.2577327546,3.7433573765,4.5356846511,2.7212952994,0.3677830867,1
-3.847162,910781,155,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,4.8081334031,1,5.5312781323,2.1709069768,3.3662167461,4.4686151729,2.8090016505,-0.822001108,2
1.285271,924187,155,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,4.7143561173,0,0,2.6533508085,4.2021384011,4.0838799576,3.4219937197,1.9783635164,5
-0.002869,930082,155,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,6.9632637271,2.0219194553,3.597451008,4.8972569097,2.6984461734,0.3315214289,2
2.772595,1240127,155,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,2,8.7835949774,0,0,3.6815714119,4.8531678705,4.0832453666,3.2330920337,2.4689410839,2
0.212169,1240174,155,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,4.2286055327,0,0,1.931980783,4.1827978152,4.5375667895,3.1274264713,0.2206513332,1
-0.308018,907000,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.0060246273,3.2637734427,4.1083683359,2.7958028108,1.5709146885,5
0.073242,907051,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,8.9210509035,0,0,3.4323658044,4.6672182298,4.4058532707,3.0188421105,1.9431407595,7
-1.695922,908130,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.9667921549,4.3899321223,4.2873662655,2.8956258568,1.2566737594,9
-1.086057,909735,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,14.449119202,1.9784991522,3.5829747542,4.7257785129,2.841098384,0.2585896521,10
