IC50,Cancer,Drug,PKA_137_POL_X_Fingerprint_576,EXP_BRD4_X_EXP_MYC,EXP_BRD4_X_EXP_NUMA1,EXP_IRAK3_X_EXP_IL1RAP,EXP_MAP2K7_X_EXP_PIK3CG,Predicted IC50,Validation
2.841568,687505,203,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,1
3.157581,687506,203,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,6
5.804207,724839,203,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,5
1.477136,906824,203,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,10
2.89494,906843,203,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,9
2.746652,907068,203,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,5
5.650836,930297,203,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,4
5.881639,930298,203,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,2
3.216975,1240212,203,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,3
2.990309,1298134,203,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,3
3.993438,687505,206,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,10
4.562514,687506,206,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,5
4.855703,724839,206,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,9
4.190955,906824,206,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,5
4.029512,906843,206,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,9
3.886452,907068,206,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,5
4.871932,930297,206,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,4
4.867348,930298,206,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,1
4.073714,1240212,206,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,3
3.990408,1298134,206,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,6
0.650754,687505,207,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,7
1.924017,687506,207,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,5
3.139016,724839,207,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,7
2.690548,906824,207,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,9
0.764485,906843,207,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,3
2.640126,907068,207,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,4
5.328522,930297,207,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,1
3.626397,930298,207,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,9
1.404647,1240212,207,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,8
1.253536,1298134,207,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,6
1.69378,687505,219,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,1
2.965403,687506,219,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,10
5.500237,724839,219,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,6
-1.330513,906824,219,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,5
1.039623,906843,219,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,8
0.136551,907068,219,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,9
3.081061,930297,219,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,9
5.799859,930298,219,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,7
1.433342,1240212,219,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,2
2.408237,1298134,219,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,2
3.834897,687505,221,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,7
5.041724,687506,221,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,5
6.135891,724839,221,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,9
2.614261,906824,221,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,7
4.118125,906843,221,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,3
5.094307,907068,221,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,3
6.031049,930297,221,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,4
5.755121,930298,221,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,9
4.523712,1240212,221,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,7
3.659255,1298134,221,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,9
3.549005,687505,222,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,3
4.275758,687506,222,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,3
5.508661,724839,222,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,5
0.906536,906824,222,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,6
3.433021,906843,222,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,8
3.750612,907068,222,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,2
4.705321,930297,222,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,3
5.431336,930298,222,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,4
3.335941,1240212,222,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,10
3.239361,1298134,222,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,5
2.122109,687505,226,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,5
3.046859,687506,226,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,5
4.543413,724839,226,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,8
-1.897677,906824,226,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,7
2.914711,906843,226,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,9
3.523474,907068,226,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,2
4.634428,930297,226,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,2
4.182478,930298,226,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,6
1.635251,1240212,226,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,1
2.422176,1298134,226,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,1
4.882396,687505,229,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,9
5.872877,687506,229,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,9
6.195114,724839,229,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,5
0.318697,906824,229,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,7
3.745854,906843,229,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,1
3.632818,907068,229,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,7
6.244813,930297,229,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,4
6.549877,930298,229,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,8
2.954499,1240212,229,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,1
3.820811,1298134,229,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,7
4.041016,687505,230,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,3
5.594228,687506,230,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,9
6.185331,724839,230,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,10
4.094906,906824,230,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,2
4.937305,906843,230,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,5
5.375337,907068,230,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,10
6.24416,930297,230,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,9
